Service,Access Route,AR For Paper,Default?,Description,Credential Check 1,Credential Check 2,Credential Check 3,Credential Check 4,Credential Check 5,
google.com,Old password,Old password,,"Password change optional, Offered in same access route on UI",Primary Contact,Old Password,,,,
google.com,Passkey,Passkey,,,Account Identifier,Passkey,,,,
google.com,Saved Bearer Token,Saved Bearer Token,,"Password change optional, Offered in same access route on UI",Primary Contact,Bearer Token,,,,
google.com,Password,Password,Y,,Primary Contact,Password,,,,
google.com,1 time challenge to alternate contact(s),1 time challenge to alternate contact(s),,"Password change optional, Offered in same access route on UI",Primary Contact,1 time challenge,Access to Alternate Contact,,,
google.com,1 time challenge to external device,1 time challenge to external device,,"Password change optional, Offered in same access route on UI. Must be logged in on mobile google app.",Primary Contact,1 time challenge,Access to external app,,,
microsoft.com,1 time challenge to external device,1 time challenge to external device,,"Password change optional, 2 different access route instantiations for login vs recovery, Must configure with Microsoft Authenticator app",Primary Contact,1 time challenge,Access to external app,,,
microsoft.com,1 time challenge to primary contact,1 time challenge to primary contact,Y,"Password change optional, 2 different access route instantiations for login vs recovery",Primary Contact,1 time challenge,Access to Primary Contact,,,
microsoft.com,1 time challenge to alternate contact(s),1 time challenge to alternate contact(s),,"Password change optional, 2 different access route instantiations for login vs recovery, Can choose which contact to send 1 time challenge to",Primary Contact,1 time challenge,Access to Alternate Contact,,,
microsoft.com,Recovery Code,Recovery Code,,"Password change required, invalidates all other access routes",Primary Contact,Recovery Code,,,,
microsoft.com,Password,Password,,,Primary Contact,Password,,,,
microsoft.com,Passkey,Passkey,,,Account Identifier,Passkey,,,,
microsoft.com,Saved Bearer Token,Saved Bearer Token,,,Primary Contact,Bearer Token,,,,
apple.com,Password,Password,Y,Blasts 2FA to all devices. Primary contact is default,Primary Contact or Alternate Contact,Access to Trusted Device,1 time challenge,Password,,
apple.com,Password,Password,Y,Blasts 2FA to all devices. Primary contact is default,Primary Contact or Alternate Contact,Access to Trusted Phone Number,1 time challenge,Password,,
apple.com,1 time challenge to external device,1 time challenge to external device,,"Can Use:
- Own Device
- Friend's Device
- Recovery Contact can generate Code
- Apple Store
- New Device

Password Change Required
Must be Apple Device, preferably signed into apple account",Primary Contact or Alternate Contact,Trusted Phone Number,1 time challenge,Recovery Key (if enabled),Access to external device,
apple.com,1 time challenge to trusted phone number,1 time challenge to primary contact,,"Password Change Required
Sends the challenge to the trusted phone number on the account, rather than generating the code or completing a walkthrough on an external device",Primary Contact or Alternate Contact,Trusted Phone Number,1 time challenge,Recovery Key (if enabled),Access to trusted phone number,
apple.com,Passkey,Passkey,,External Device with Passkey (must be signed into apple account),Passkey,,,,,
apple.com,Saved Bearer Token,Saved Bearer Token,,,Primary Contact,Bearer Token,,,,
apple.com,1 time challenge to primary contact,1 time challenge to primary contact,,"Only functions if recovery key is not activated
Password Change Required",Primary Contact or Alternate Contact,Trusted Phone Number,Access to primary contact,,,
facebook.com,1 time challenge to primary contact,1 time challenge to primary contact,,"Password change optional, Session signout optional, Offered in same access route on UI, Blasts to All Contacts on Account of Same Type",Primary Contact or Alternate Contact,1 time challenge,Access to primary contact,,,
facebook.com,1 time challenge to alternate contact(s),1 time challenge to alternate contact(s),,"Password change optional, Session signout optional, Offered in same access route on UI, Blasts to All Contacts on Account of Same Type",Primary contact or Alternate Contact,1 time challenge,Access to alternate contact,,,
facebook.com,SSO access with primary contact,SSO access with primary contact,,"Password change optional, Session signout optional, Offered in same access route on UI, Blasts to All Contacts on Account of Same Type",Primary contact or Alternate Contact,Access to primary contact SSO account,,,,
facebook.com,SSO access with any contact,SSO access with any contact,,"Sign in using same UI, instead of a popup, only Meta",Access to SSO account,,,,,
facebook.com,Password,Password,Y,Primary contact is default,Primary contact or Alternate contact,Password,,,,
twitter.com,1 time challenge to primary contact,1 time challenge to primary contact,,,Primary contact or Alternate Contact or Username,1 time challenge,Access to primary contact,,,
twitter.com,1 time challenge to alternate contact(s),1 time challenge to alternate contact(s),,"Alternate contact is either phone or email, whatever wasn't set up on signup. Can choose which contact to send 1 time challenge to",Primary contact or Alternate Contact or Username,1 time challenge,Access to alternate contact,,,
twitter.com,Passkey,Passkey,,,Account Identifier,Passkey,,,,
twitter.com,SSO access with primary contact,SSO access with primary contact,,,Access to primary contact SSO account,,,,,
twitter.com,Password,Password,Y,Primary contact and Username is default,Primary Contact or Username or Alternate Contact,Password,,,,
twitter.com,Primary Contact/Username/Alternate Contact/Password,Password,,Risk-based,Primary Contact,Username/Alternate Contact,Password,,,
instagram.com,Password,Password,Y,Primary contact and Username is default,Primary Contact or Username,Password,,,,
instagram.com,1 time challenge to primary contact,1 time challenge to primary contact,,"Password change optional, Offered via two separate challenges sent in same notification (i.e., a link for login, a link for password reset)",Primary Contact or Username,1 time challenge,Access to primary contact,,,
instagram.com,1 time challenge to alternate contact(s),1 time challenge to alternate contact(s),,"Password change optional, Offered via two separate challenges sent in same notification (i.e., a link for login, a link for password reset). Options offered if use username.",Alternate Contact or Username,1 time challenge,Access to alternate contact,,,
instagram.com,Saved Bearer Token,Saved Bearer Token,,,Primary Contact,Bearer Token,,,,
instagram.com,SSO access with any contact,SSO access with any contact,,"Sign in using same UI, instead of a popup, only Meta",Access to SSO account,,,,,
cloudflare.com,Password,Password,Y,,Primary Contact,Password,,,,
cloudflare.com,1 time challenge to primary contact,1 time challenge to primary contact,,Password Change Required,Primary Contact,1 time challenge,Access to primary contact,,,
cloudflare.com,SSO access with primary contact,SSO access with primary contact,,,Access to primary contact SSO account,,,,,
linkedin.com,1 time challenge to primary contact,1 time challenge to primary contact,,"Session signout optional, Password Change Required",Primary Contact,1 time challenge,Access to primary contact,,,
linkedin.com,1 time challenge to alternate contact(s),1 time challenge to alternate contact(s),,"Session signout optional, Password Change Required",Alternate contact,1 time challenge,Access to alternate contact,,,Can select for phone number contacts to receive challenge or not
linkedin.com,Passkey,Passkey,,,Passkey,,,,,
linkedin.com,SSO access with primary contact,SSO access with primary contact,,,Access to primary contact SSO account,,,,,
linkedin.com,SSO access with alternate contact,SSO access with alternate contact,,,Access to alternate contact SSO account,,,,,
linkedin.com,Saved Bearer Token,Saved Bearer Token,,,Primary Contact,Bearer Token,,,,
linkedin.com,Password,Password,Y,Primary contact is default,Primary Contact or Alternate Contact,Password,,,,
github.com,Password,Password,Y,Primary contact and username is default,Primary Contact or Username or Alternate Contact,Password,,,,
github.com,1 time challenge to primary contact,1 time challenge to primary contact,,Password Change Required,Primary Contact,1 time challenge,Access to primary contact,,,
github.com,1 time challenge to alternate contact(s),1 time challenge to alternate contact(s),,Password Change Required,Alternate Contact,1 time challenge,Access to alternate contact,,,
github.com,SSO access with primary contact,SSO access with primary contact,,,Access to primary contact SSO account,,,,,
github.com,SSO access with alternate contact,SSO access with alternate contact,,,Access to alternate contact SSO account,,,,,
github.com,SSO access with any contact,SSO access with any contact,,,Access to SSO account,,,,,
github.com,Passkey,Passkey,,,Passkey,,,,,
fastly.net,Password,Password,Y,,Primary contact,Password,,,,
fastly.net,1 time challenge to primary contact,1 time challenge to primary contact,,Password Change Required,Primary contact,1 time challenge,Access to primary contact,,,
pinterest.com,Password,Password,Y,,Primary contact,Password,,,,
pinterest.com,1 time challenge to primary contact,1 time challenge to primary contact,,Password Change Required,Primary contact,1 time challenge,Access to primary contact,,,
pinterest.com,SSO access with any contact,SSO access with any contact,,,Access to SSO account,,,,,
pinterest.com,SSO access with primary contact,SSO access with primary contact,,,Access to primary contact SSO account,,,,,
pinterest.com,1 time challenge to external device,1 time challenge to external device,,Must be pinterest app,Primary contact,1 time challenge,Access to external app,,,
digicert.com,Password,Password,Y,,Username,Password,,,,
digicert.com,1 time challenge to primary contact,1 time challenge to primary contact,,Requires password change,Primary Contact or Username,1 time challenge,Access to primary contact,,,
yahoo.com,Password,Password,Y,Primary contact and Username is default and the same in our config,Primary contact and Username but same in our config,Password,,,,
yahoo.com,1 time challenge to external device,1 time challenge to external device,,Must be yahoo app,Primary contact,1 time challenge,Access to external app,,,
yahoo.com,Saved Bearer Token,Saved Bearer Token,,,Primary Contact,Bearer Token,,,,
yahoo.com,1 time challenge to primary contact,1 time challenge to primary contact,,"Password change optional, 2 different access route instantiations for login vs recovery.",Primary Contact/Username,1 time challenge,Access to Primary Contact,,,
yahoo.com,1 time challenge to alternate contact(s),1 time challenge to alternate contact(s),,"Password change optional, 2 different access route instantiations for login vs recovery, lets you select contact in recovery. Login access route requires alternate contact, recovery access route requires Primary Contact/Username",Alternate Contact or Primary Contact/Username,1 time challenge,Access to alternate contact,,,
yahoo.com,SSO access with primary contact,SSO access with primary contact,,"Password change optional, 2 different access route instantiations for login vs recovery",Primary Contact/Username,Access to Primary Contact SSO Account,,,,
yahoo.com,SSO access with alternate contact,SSO access with alternate contact,,"Optional password change - only offered as a recovery option, use as a login option attempts to create new account., lets you select contact for SSO",Primary Contact/Username,Access to alternate contact SSO account,,,,
yahoo.com,Passkey,Passkey,,,Account Identifier,Passkey,,,,
adobe.com,Password,Password,Y,,Primary contact,Password,,,,
adobe.com,Passkey,Passkey,,,Account Identifier,Passkey,,,,
adobe.com,1 time challenge to primary contact,1 time challenge to primary contact,,"2 different access route instantiations for login vs recovery, password change required in recovery path, can avoid signing out sessions",Primary contact,1 time challenge,Access to primary contact,,,
adobe.com,1 time challenge to alternate contact(s),1 time challenge to alternate contact(s),,"Password change required, can avoid signing out sessions, sends code to all contacts of same type",Primary Contact,1 time challenge,Access to alternate contact,,,
adobe.com,SSO access with primary contact,SSO access with primary contact,,,Access to Primary Contact SSO Account,,,,,
adobe.com,Saved Bearer Token,Saved Bearer Token,,,Primary Contact,Bearer Token,,,,
adobe.com,SSO access with any contact,SSO access with any contact,,,Access to SSO account,,,,,
vimeo.com,Password,Password,Y,,Primary contact,Password,,,,
vimeo.com,1 time challenge to primary contact,1 time challenge to primary contact,,Password change required,Primary contact,1 time challenge ,Access to primary contact,,,
vimeo.com,SSO access with primary contact,SSO access with primary contact,,,Access to Primary Contact SSO Account,,,,,
spotify.com,Password,Password,,,Primary contact,Password,,,,
spotify.com,1 time challenge to primary contact,1 time challenge to primary contact,Y,,Primary contact,1 time challenge ,Access to primary contact,,,
spotify.com,SSO access with any contact,SSO access with any contact,,,Access to SSO account,,,,,
bit.ly,Password,Password,Y,,Primary contact,Password,,,,
bit.ly,SSO access with primary contact,SSO access with primary contact,,,Access to Primary contact SSO account,,,,,
bit.ly,1 time challenge to primary contact,1 time challenge to primary contact,,Requires password change,Primary contact or Alternate contact,1 time challenge,Access to primary contact,,,
wordpress.com,Password,Password,Y,Primary contact and username are default,Primary contact or Username,Password,,,,
wordpress.com,1 time challenge to primary contact,1 time challenge to primary contact,,"2 different access route instantiations for login vs recovery, password change required in recovery path",Primary contact,1 time challenge ,Access to primary contact,,,
wordpress.com,SSO access with any contact,SSO access with any contact,,,Access to SSO account,,,,,
wordpress.com,SSO access with primary contact,SSO access with primary contact,,,Access to primary contact SSO account,,,,,
roblox.com,Password,Password,Y,Username is default.,Primary contact or Username,Password,,,,
roblox.com,Passkey,Passkey,,Requires 2fa for config,Passkey,,,,,
roblox.com,1 time challenge to external device,1 time challenge to external device,,Must be roblox active session or roblox app,1 time challenge,Access to external app,,,,
roblox.com,1 time challenge to primary contact,1 time challenge to primary contact,,Requires password change,Primary Contact,1 time challenge,Access to primary contact,,,
wikipedia.com,Password,Password,Y,,Username,Password,,,,
wikipedia.com,1 time challenge to primary contact,1 time challenge to primary contact,,Requires password change,Primary contact,1 time challenge ,Access to primary contact,,,
wikipedia.com,Saved Bearer Token,Saved Bearer Token,,,Primary Contact,Bearer Token,,,,